,County,"1,1,2,2-Tetrachloroethane","1,3-Butadiene",Acetaldehyde,Acrolein,Acrylonitrile,Arsenic,Benzene,Beryllium,Cadmium,Chloroform,Chromium (VI),Chromium III,Ethylene Dichloride,Ethylene Oxide,Formaldehyde,Hexachlorobenzene,Lead,Manganese,Mercury,Nickel,PM2.5 Primary (Filt + Cond),Propylene Dichloride,Trichloroethylene,Vinyl Chloride,COPD deaths normalized,Old,M,Minority
0,Anderson,1.4002899260000001,703.1514341215236,29616.27917147062,1111.7204242099494,1.071717647,0.32195854375000005,2272.5891464307274,0.29081304314285716,0.237589259,3.3910902756666665,0.0021325322666666665,0.037839778500000004,3.3032088666666666,0.616376471,40282.09658354842,0.337495645,4.907389877857144,0.6262124448749999,0.11966505047058824,0.3509275128235294,68413.75255108105,0.929797144,671.8133349999999,1.229222514,109.94296708582422,0.19894523465952038,0.6119528619528619,0.243128564557136
1,Andrews,81.92888314666668,310.37950617825004,34746.327013689996,2671.6032215038417,0.3088,0.54336192,23108.399389103615,0.2927700786,0.6875356050000002,23.12851384285714,0.09055097431333332,1.37157216975,27.734308849999998,0.1776,49360.88648157953,0.0,2.376401118615384,0.8664149376874999,0.6517712008235295,0.99549537,16778.414725945946,48.4753249,541.9447264999999,31.18684569333334,81.10714083149,0.15217514604957177,0.5089898474278259,0.04707617265044524
2,Angelina,1.5856133899999998,1941.5901723301909,33966.389887223835,3313.4805636000906,1.6166588240000002,2.392319111,3364.987442933083,2.4033741550000003,1.9678667173846156,26.910824561,0.8640501525789475,5.911264484166668,11.370712799999998,0.929788235,39997.476950694225,0.322347726,13.950279327777775,9.432605678263158,0.30866790994999993,3.569204862333334,95779.15263226086,4.517356454666667,606.97874644,2.354625755,99.41740488650225,0.21619865239251634,0.48773814002804666,0.17936176762321715
3,Aransas,3.308305517666667,1370.0947675900454,15467.36407868331,1999.7651297809998,0.44503529399999997,0.335813503525,2828.399821904648,0.021651415875,0.07817382020000001,2.7231263783333333,0.11490472444933335,0.416812785725,3.585296666666667,0.255952941,22570.859201455427,0.028104204999999997,20.34762710142857,0.21715037974999998,0.03670893983333333,7.632682449058825,57530.43675877777,2.671993878,104.0709821,1.4775525495,137.1477973827956,0.3483318269344127,0.4947930993830314,0.05595944512123237
4,Archer,6.384372373,111.59731493659994,18708.836117802482,206.5521525638948,0.163482353,0.14589798014285718,1500.225913366344,0.1041066942,0.10533580825,2.158002305666667,0.0006240235,0.0004557058333333333,0.0151752,0.09402352900000001,26160.239418735295,0.033325423,1.9381465599999999,0.24120381649999997,0.021419269,0.16071679000000003,35038.090407176474,3.296204908,159.2288836,1.820686105,96.74482130662417,0.2728203960846802,0.49613020714773504,0.03448668335989073
5,Armstrong,0.005607353000000001,36.17420089149999,16933.846750495675,72.65789691452942,0.036329412,0.05414926882142857,165.38017428646663,0.07809466034,0.06870887693375,0.10514772783333336,0.00044983485999999995,0.0002069380285714286,0.00266553,0.020894118,23283.64250303307,0.016359753,0.4768369812166668,0.09631934984285716,0.037577056145624996,0.08960868826666667,20627.39021464242,0.0042581765,8.47093575,0.0023737645,138.22434875066455,0.3056884635832004,0.4859117490696438,0.030303030303030304
6,Atascosa,11.301091197,377.39611317399994,33887.67454388792,506.1027774230455,0.8719058820000001,2.706062955470588,5387.650371106148,0.3396986655,1.3008134219999998,24.110996365714293,1.16934655305625,15.242366041444443,27.401319550000004,0.501458824,48884.91245332372,0.141582554,11.628507176571429,7.5313664258823545,20.881196694500005,6.837446171,57521.940151891875,7.1609857755,347.36558494999997,3.9590286569999997,77.23817481505634,0.2014102590230084,0.49821679675558905,0.03523609610956001
7,Austin,1.7461282679999999,289.76214703580945,15014.90475207875,375.5145227278,0.535858824,0.7788893908750001,1270.7593483329395,0.956363227375,0.7840079247,2.323725349333333,0.013830308586666668,0.03330532174999999,3.336390886666667,0.308188235,21453.553953069713,0.15248905599999998,4.090192529230769,1.443127860125,0.1034263807777778,0.8554273785294119,39812.09303345946,0.9793726570000001,1284.0957385,0.5416697374999999,88.71862082871257,0.2600060489968747,0.49584971603320227,0.1161743455321437
8,Bailey,0.0006176469999999999,99.15642958973685,12100.31177178593,166.12718212700003,0.136235294,0.2238413847142857,269.67991932478134,0.276236756,0.2429937065,1.1077756231999998,0.0005279224785714286,0.0009435812857142856,0.6934954666666666,0.078352941,16783.898797651036,0.0032315559999999996,3.4236352683333338,0.34239599528571435,0.016333085500000004,0.23538931626666668,30237.81794805882,0.004058824,29.953894265,0.002368235,69.46413382478026,0.19620073717039976,0.49985823646158206,0.06634533597958606
9,Bandera,0.009411813,394.81437675584993,27264.325460745153,373.82267776415785,0.381458824,0.1013914187692308,1288.8132775737497,0.031867003149999996,0.03217639174285714,1.123515141,0.0004955785538461539,0.00038032155000000006,0.5555553333333333,0.219388235,36316.66172404393,0.17611981,1.1756289716363637,0.17571492584615384,0.032359108160000004,0.10248962478571429,26775.129219764705,0.010074148000000002,79.58223225,1.9778954343333333,113.77889267156422,0.3604640745386132,0.49610284895180073,0.032969001970972946
