Date,Temp,Ozone,Pressure,Humidity,Wind Speed,Temp-8,Ozone-8,Pressure-8,Humidity-8,Wind Speed-8,Temp-16,Ozone-16,Pressure-16,Humidity-16,Wind Speed-16,Temp-24,Ozone-24,Pressure-24,Humidity-24,Wind Speed-24,Temp+8,Ozone+8,Pressure+8,Humidity+8,Wind Speed+8,Temp+16,Ozone+16,Pressure+16,Humidity+16,Wind Speed+16,Temp+24,Ozone+24,Pressure+24,Humidity+24,Wind Speed+24,Temp+32,Ozone+32,Pressure+32,Humidity+32,Wind Speed+32,Temp+40,Ozone+40,Pressure+40,Humidity+40,Wind Speed+40,Temp+48,Ozone+48,Pressure+48,Humidity+48,Wind Speed+48,Month,Hour,Day
2016-04-02 00:00:00,59.8,0.013999999999999999,1010.0,81.0,3.2,67.8,0.054000000000000006,1009.0,77.0,7.0,70.8,0.052000000000000005,1009.0,58.0,7.1000000000000005,57.3,0.023,1008.0,77.0,4.3,54.699364832551474,0.077,1013.9850778683195,68.38818648627795,5.651840104748974,78.08812286011582,0.064,1008.4130401400707,40.14770497232789,1.5370977500714886,52.40334568736759,0.015,1007.9947036726687,48.61985341492606,-1.3986333851229764,44.8409337125653,0.077,1008.1791205650615,131.97079344111626,11.815979347527897,48.09938758031896,0.055,1001.5333189374202,50.79232485751743,8.025245814943256,78.52920610166055,0.011,1011.9279231204522,81.7458148314451,4.546110207981498,Apr,0,Sat
2016-04-02 08:00:00,75.0,0.077,1010.0,57.0,8.2,59.8,0.013999999999999999,1010.0,81.0,3.2,67.8,0.054000000000000006,1009.0,77.0,7.0,70.8,0.052000000000000005,1009.0,58.0,7.1000000000000005,80.6367511627821,0.064,1007.7548865885974,24.748031397182256,6.849558150530322,93.75235321407354,0.015,1008.6602153451013,62.675525616634616,6.8775966860344635,59.58244035465768,0.077,1006.0787343561309,114.5712442211987,9.91671027646482,84.24534485188141,0.055,1003.3106864598911,-84.3085597220595,0.9233952523925764,39.56591875074851,0.011,1016.3864374205865,42.305629246335364,6.450751240100438,91.38252138058537,0.057999999999999996,1004.013941077613,91.54606323437625,5.298170406385031,Apr,8,Sat
2016-04-02 16:00:00,72.60000000000002,0.064,1007.0,76.0,7.0,75.0,0.077,1010.0,57.0,8.2,59.8,0.013999999999999999,1010.0,81.0,3.2,67.8,0.054000000000000006,1009.0,77.0,7.0,64.40899556209526,0.015,1000.0967490011341,64.63753058202997,3.041573386761625,87.03172219511718,0.077,1005.6343573785774,-16.181676510803754,8.922753215778535,79.83946667376675,0.055,1005.5886898351331,110.17655321443773,6.375887056222917,71.44097817496156,0.011,1014.7066189741997,124.41778275034375,3.459729853993478,88.10940983608728,0.057999999999999996,1003.4498287854078,88.96523945323005,12.944346383472043,94.40513280990561,0.06,1015.0854243631667,39.489446816182344,11.723647876671432,Apr,16,Sat
2016-04-03 00:00:00,62.0,0.015,1007.0,78.0,4.0,72.60000000000002,0.064,1007.0,76.0,7.0,75.0,0.077,1010.0,57.0,8.2,59.8,0.013999999999999999,1010.0,81.0,3.2,108.83593873510888,0.077,1015.7247477313258,7.059201369696744,6.44870821227365,78.7131901035435,0.055,1012.1739880722282,39.09079120448217,5.19727080521926,57.476836533795584,0.011,1001.2534752546998,103.82167717307377,1.2685997251250107,82.82723491549987,0.057999999999999996,1008.2597386448932,35.36441240417825,6.976644378228556,46.44103634724881,0.06,997.9074220647614,43.235605420600585,10.298260722680078,71.79288238999533,0.006999999999999999,1018.310484518989,92.06538556685393,0.8279355530347137,Apr,0,Sun
2016-04-03 08:00:00,78.10000000000002,0.077,1007.0,43.0,10.7,62.0,0.015,1007.0,78.0,4.0,72.60000000000002,0.064,1007.0,76.0,7.0,75.0,0.077,1010.0,57.0,8.2,31.51721197675153,0.055,1019.8831800808639,86.3455420592055,7.423958048625552,53.34043602811555,0.011,1005.1982101037021,94.5403183739711,0.1127368942320599,67.54820519852875,0.057999999999999996,1001.7243380343181,40.15781306862809,9.342707944214316,93.20701113111843,0.06,1013.2645570168445,133.076530107553,4.649936345400302,54.21279566264645,0.006999999999999999,1008.2182723964388,24.205278180586454,4.150664586000115,95.31899313293897,0.068,1004.1438710338201,47.76777523680203,11.88950200042224,Apr,8,Sun
2016-04-03 16:00:00,72.3,0.055,1006.0,66.0,6.7,78.10000000000002,0.077,1007.0,43.0,10.7,62.0,0.015,1007.0,78.0,4.0,72.60000000000002,0.064,1007.0,76.0,7.0,52.52984974424389,0.011,1009.9756751823651,80.69762497199926,3.7158480541477155,74.12481378855882,0.057999999999999996,1002.4546182246854,85.46102498238898,6.791407870628626,70.97547442009697,0.06,1003.3755135821392,33.15695162818628,9.133179692994823,69.80896342618426,0.006999999999999999,1006.6686281133458,48.20969956531381,0.3715132731414461,93.79358665791833,0.068,1006.0607869360857,96.99781067293213,5.723152343853091,77.78845296270467,0.066,1005.1080697209903,63.93017691058661,8.259463771767935,Apr,16,Sun
2016-04-04 00:00:00,61.6,0.011,1008.0,74.0,2.4,72.3,0.055,1006.0,66.0,6.7,78.10000000000002,0.077,1007.0,43.0,10.7,62.0,0.015,1007.0,78.0,4.0,104.4574658492914,0.057999999999999996,1000.4809209298572,84.51445219701891,6.503282715530163,108.73313743307759,0.06,1008.9462674160077,46.65305925721304,6.636089669073365,70.48970932021514,0.006999999999999999,1007.3394489656088,76.76663237648235,5.1148825814674295,103.16283121665576,0.068,1008.3127836851908,85.045898011723,6.558986802804449,133.19433909041732,0.066,1010.1713994519129,78.20732062516826,7.007579897197028,66.30501792296776,0.031,1009.6071919871389,66.72470900304808,3.7522582496968395,Apr,0,Mon
2016-04-04 08:00:00,78.0,0.057999999999999996,1009.0,62.0,9.3,61.6,0.011,1008.0,74.0,2.4,72.3,0.055,1006.0,66.0,6.7,78.10000000000002,0.077,1007.0,43.0,10.7,72.8723078254783,0.06,994.2842385351854,11.850346346697423,7.39329597448972,70.19133083839225,0.006999999999999999,1000.5125774749155,84.76225658490549,-2.0571960822406874,84.58326602341508,0.068,1005.7463048102042,14.790052086668842,8.720410079351842,70.30377119679004,0.066,1005.667915804502,86.90485614664479,8.926574142902314,66.57840160666922,0.031,1018.694451126661,-3.2299250138244417,-1.9850570433493675,105.54976017268841,0.053000000000000005,1011.6990937562357,111.0843696162585,10.223137642700868,Apr,8,Mon
2016-04-04 16:00:00,74.0,0.06,1007.0,60.0,8.6,78.0,0.057999999999999996,1009.0,62.0,9.3,61.6,0.011,1008.0,74.0,2.4,72.3,0.055,1006.0,66.0,6.7,54.6917613612474,0.006999999999999999,1000.2278979459538,34.57892001227975,2.6568968878305306,82.9027164321264,0.068,1011.6381206948928,59.977852318318554,6.416040113233814,69.0787658680571,0.066,1012.3079688480676,31.323558188040387,7.631566920710736,51.8229936737708,0.031,1011.7969861551785,73.2193826933492,1.6583309138179638,58.02115469367384,0.053000000000000005,998.9484292497983,43.088356642535125,10.506971362338554,53.08740564997585,0.049,1010.7703640639594,103.65911063601769,7.9874234089778415,Apr,16,Mon
2016-04-05 00:00:00,64.5,0.006999999999999999,1008.0,58.0,3.2,74.0,0.06,1007.0,60.0,8.6,78.0,0.057999999999999996,1009.0,62.0,9.3,61.6,0.011,1008.0,74.0,2.4,119.57625674326621,0.068,1003.1444661863053,60.85244335462062,10.102571299066234,82.57124314149775,0.066,1017.1140869002394,122.33480706188953,3.8374322794084135,70.9103072167427,0.031,1008.1910259060306,79.3315221907821,0.3677832156194758,93.90551240429966,0.053000000000000005,998.5057635945988,89.16404759201718,12.355364554261016,45.00935318865556,0.049,1003.8043146235883,39.815484393137694,12.000968410627816,62.49159218593685,0.013,999.8571293148932,82.81865454010521,3.580787031005516,Apr,0,Tue
