Time,temp,ozone,pressure,humidity,wind
2019-10-02 14:00:00,80.24000000000001,0.061,1001.6,47.3,8.74728
2019-10-02 22:00:00,77.9,0.062,1000.2,62.6,8.941664
2019-10-03 06:00:00,63.68,0.01,1000.3,72.0,3.304528
2019-10-03 14:00:00,58.28,0.003,1000.9,61.1,3.110144
